id,price,speed,hd,ram,screen,cores,cd,laptop,trend
120,3513,35,5,16,19,30,no,no,5
121,3717,34,5,28,17,22,no,no,5
122,4296,30,5,36,19,26,yes,no,5
123,1025,23,12,2,11,6,no,yes,2
124,1700,17,20,6,21,6,yes,no,2
125,983,24,16,6,11,4,no,yes,1
126,1307,19,28,2,19,8,no,no,1
127,3373,36,7,28,19,24,no,no,5
128,698,19,12,10,11,10,no,yes,1
129,2972,18,28,10,15,20,yes,no,5
130,809,18,8,6,13,4,no,yes,1
131,2079,21,24,2,23,12,no,no,2
132,2847,20,8,2,21,18,no,no,5
133,3317,31,5,20,17,28,no,no,5
134,3019,34,3,32,19,12,no,no,2
135,2467,17,12,6,21,16,no,no,1
136,3379,31,7,52,19,20,no,no,5
137,1688,16,24,14,21,4,yes,no,2
138,3892,37,5,60,21,18,yes,no,4
139,1611,18,24,2,23,4,no,no,2
140,2666,21,20,10,17,28,no,no,5
141,3966,32,3,52,15,14,no,no,1
142,4226,38,7,60,23,20,no,no,4
143,1943,20,16,2,23,6,no,no,2
144,3639,37,5,32,15,28,no,no,4
145,3368,36,1,44,17,30,yes,no,4
146,2161,19,8,14,19,18,no,no,5
147,2792,22,16,2,23,30,yes,no,5
148,2721,23,24,6,15,14,no,no,2
149,3989,30,1,56,21,22,no,no,4
150,1049,23,28,2,12,6,no,yes,2
151,1434,17,8,10,19,10,no,no,1
152,2355,21,24,6,23,24,no,no,4
153,1803,21,8,6,21,6,no,no,1
154,641,21,28,14,12,8,no,yes,2
155,3054,35,1,32,17,20,no,no,5
156,2943,23,8,14,21,30,no,no,4
157,1948,21,12,10,19,6,yes,no,2
158,1922,21,20,10,19,6,no,no,1
159,1689,17,16,6,19,4,no,no,1
160,2771,21,20,14,15,16,no,no,1
161,3687,30,3,44,17,30,no,no,4
162,2670,20,8,2,15,28,no,no,4
163,3029,32,7,16,15,16,no,no,1
164,2659,17,8,6,23,14,no,no,1
165,853,19,16,10,12,6,no,yes,2
166,1685,22,24,14,19,6,no,no,1
167,1545,22,8,14,23,10,no,no,2
168,1405,22,24,10,21,8,no,no,1
169,2359,24,20,10,23,12,no,no,2
170,665,19,8,14,11,4,no,yes,1
171,1639,22,8,14,17,8,no,no,1
172,4107,30,5,16,19,14,no,no,2
173,517,16,24,6,13,4,no,yes,1
174,2175,22,24,2,15,12,no,no,1
175,3003,38,1,24,21,30,no,no,4
176,1262,15,24,10,15,10,no,no,1
177,1174,15,12,14,11,6,no,yes,2
178,2416,23,28,10,15,16,yes,no,1
179,611,23,12,14,13,4,no,yes,2
180,4026,33,5,60,17,16,no,no,1
181,1301,18,12,14,23,8,no,no,1
182,4121,36,5,28,17,30,no,no,5
183,633,19,20,10,13,10,no,yes,1
184,1195,19,28,14,11,8,no,yes,1
185,1698,24,24,10,23,6,no,no,1
186,1723,20,24,2,17,4,no,no,1
187,1284,21,16,10,15,6,yes,no,1
188,867,21,12,6,13,6,no,yes,1
189,2907,21,12,14,17,28,no,no,5
190,697,16,16,2,13,4,no,yes,2
191,708,15,12,10,13,8,yes,no,1
192,3616,36,5,56,19,30,yes,no,5
193,1444,21,28,10,19,6,yes,no,1
194,2258,23,16,6,21,22,no,no,4
195,2784,19,8,14,17,26,yes,no,5
196,1011,18,16,6,11,6,no,yes,1
197,4055,33,1,16,17,12,no,no,2
198,4147,31,1,60,21,14,no,no,2
199,3275,31,7,36,17,20,no,no,4
200,2405,22,8,6,17,12,no,no,2
201,3204,38,3,56,17,14,yes,no,2
202,1229,24,28,2,17,6,no,no,1
203,2383,21,20,14,17,18,no,no,4
204,2720,15,8,2,21,20,yes,no,4
205,4242,30,1,28,23,18,no,no,5
206,3076,37,7,16,21,26,yes,no,5
207,1973,18,20,6,21,8,no,no,2
208,2918,24,8,10,23,18,no,no,5
209,3940,34,1,16,23,26,yes,no,4
210,2034,23,20,14,19,14,no,no,1
211,1550,22,28,2,19,6,no,no,1
212,2725,17,12,6,23,20,no,no,5
213,665,20,16,14,12,8,no,yes,2
214,3045,34,1,20,17,30,no,no,4
215,3355,37,7,28,21,26,no,no,5
216,2143,21,12,2,23,22,no,no,4
217,1991,15,16,2,17,8,no,no,1
218,2089,15,12,6,17,28,no,no,4
219,3242,34,1,32,15,16,no,no,2
220,2127,17,20,2,23,18,no,no,5
221,3272,38,1,56,19,16,yes,no,1
222,2159,20,20,2,23,20,no,no,4
223,801,20,24,2,12,10,no,yes,2
224,4209,34,1,48,15,28,no,no,5
225,1788,24,16,10,17,10,yes,no,2
226,2293,17,16,6,15,24,no,no,5
227,1793,17,12,6,15,10,no,no,1
228,3739,38,7,56,21,26,no,no,5
229,849,23,24,10,11,10,no,yes,2
230,2276,21,28,14,19,22,yes,no,5
231,1311,19,20,2,19,8,no,no,1
232,976,22,12,10,12,10,yes,no,2
233,951,22,12,2,12,6,no,yes,2
234,2092,16,16,2,17,18,yes,no,4
235,4028,37,7,48,19,20,yes,no,5
236,1131,19,12,6,13,6,no,yes,1
237,3941,31,3,32,15,28,no,no,4
238,2037,19,24,10,23,24,no,no,5
239,1971,17,24,14,23,4,no,no,2
240,2777,24,20,14,23,16,no,no,2
241,3959,32,3,56,17,26,no,no,5
242,2595,23,8,6,23,12,no,no,1
243,3422,30,7,40,17,26,no,no,4
244,3264,30,1,20,21,22,yes,no,4
245,3025,33,7,36,19,20,no,no,4
246,3625,33,1,32,19,12,no,no,1
247,1031,16,16,6,13,6,no,yes,2
248,1425,15,28,6,17,10,no,no,1
249,4299,39,5,24,23,16,no,no,1
250,4086,34,3,56,15,22,no,no,4
251,3020,38,5,48,21,20,yes,no,5
252,3699,33,7,20,17,20,no,no,5
253,3687,39,1,44,23,24,no,no,4
254,3170,33,3,16,19,28,no,no,5
255,1110,23,24,14,11,6,no,yes,2
256,541,21,24,6,12,6,no,yes,1
257,1534,16,16,2,19,6,no,no,2
258,3947,30,3,40,23,16,no,no,1
259,1985,15,12,6,15,4,no,no,2
260,634,21,24,14,11,8,no,yes,2
261,3413,38,5,52,23,12,no,no,1
262,3855,31,1,48,21,30,no,no,5
263,2063,17,24,10,21,28,no,no,5
264,4170,34,3,60,19,20,no,no,4
265,3132,37,7,24,21,18,yes,no,4
266,2099,23,28,10,19,18,no,no,5
267,1751,22,24,14,17,8,no,no,1
268,3219,31,3,40,19,24,no,no,4
269,761,15,28,6,13,8,no,yes,1
270,4308,30,5,52,17,20,yes,no,4
271,4242,32,5,36,19,26,no,no,4
272,4289,34,7,28,15,28,no,no,5
273,4095,31,7,36,17,28,no,no,4
274,1416,22,16,14,15,6,yes,no,1
275,3416,36,1,28,23,16,yes,no,1
276,1441,15,16,6,21,10,no,no,1
277,1151,20,8,10,13,6,no,yes,2
278,780,20,24,6,11,6,yes,no,2
279,4023,33,5,16,17,24,no,no,4
280,2532,21,20,10,15,14,yes,no,1
281,2245,20,28,6,19,18,no,no,5
282,2940,17,28,6,17,26,yes,no,5
283,2238,16,16,10,17,24,no,no,4
284,3944,30,5,48,23,22,yes,no,4
285,2349,17,28,6,15,14,no,no,1
286,744,15,12,10,12,4,yes,no,2
287,961,22,16,10,12,6,no,yes,2
288,3092,37,5,48,17,18,yes,no,5
289,3415,35,1,40,23,26,no,no,4
290,1195,18,12,10,12,10,no,yes,1
291,3546,35,1,48,23,12,no,no,2
292,1102,24,24,6,12,10,no,yes,1
293,1224,24,28,6,23,8,yes,no,1
294,3430,39,1,28,21,16,no,no,1
295,3596,30,7,44,21,28,yes,no,4
296,3401,38,7,28,17,28,no,no,4
297,1196,16,20,10,11,8,yes,no,2
298,1390,23,16,6,23,6,no,no,1
299,3002,33,3,60,23,16,no,no,2
300,1323,15,12,2,17,8,no,no,1
301,1044,19,16,2,11,4,yes,no,1
302,1632,19,8,2,19,8,yes,no,2
303,559,17,12,14,12,6,no,yes,1
304,1727,15,16,2,19,4,no,no,2
305,1961,16,20,6,15,6,no,no,1
306,4324,30,3,28,19,28,yes,no,5
307,807,15,24,6,13,4,no,yes,1
308,2626,21,28,14,19,30,no,no,5
309,2011,20,20,10,17,12,no,no,1
310,1437,16,8,6,19,4,no,no,1
311,730,23,8,14,11,6,no,yes,1
312,3088,32,1,32,17,20,yes,no,5
313,2934,17,20,2,17,12,no,no,1
314,811,21,24,6,12,6,no,yes,1
315,3583,33,5,60,23,18,no,no,5
316,2770,15,12,14,15,20,no,no,5
317,2184,18,12,14,17,16,yes,no,1
318,3842,35,7,44,21,14,no,no,1
319,732,21,20,6,12,4,yes,no,2
320,522,15,28,2,12,4,no,yes,2
321,4262,31,3,24,23,20,no,no,4
322,3142,32,1,56,17,26,no,no,4
323,3929,35,7,56,17,16,no,no,2
324,1684,22,28,10,17,4,yes,no,1
325,1830,22,8,14,19,8,no,no,2
326,1649,24,28,14,15,4,no,no,2
327,2051,18,20,6,19,28,no,no,4
328,3302,31,7,28,21,24,no,no,4
329,2134,21,24,10,23,24,no,no,5
330,952,18,16,6,13,8,yes,no,2
331,1643,16,8,14,19,6,no,no,2
332,2195,24,20,6,21,22,no,no,5
333,1744,20,12,2,23,6,yes,no,1
334,1392,16,28,6,17,4,yes,no,1
335,3886,39,7,28,17,14,no,no,2
336,1758,15,24,10,23,4,no,no,1
337,3754,33,1,44,15,26,no,no,4
338,3593,33,3,32,21,24,no,no,5
339,3987,37,3,48,15,12,no,no,2
340,1180,22,12,14,12,4,yes,no,2
341,3155,39,3,40,19,16,no,no,1
342,3851,30,7,48,17,12,no,no,2
343,975,17,12,6,11,6,no,yes,2
344,863,18,8,6,12,6,no,yes,1
345,3205,30,5,24,15,20,no,no,4
346,1127,22,28,14,12,8,no,yes,1
347,3127,36,1,52,17,14,no,no,2
348,2425,21,24,2,17,20,no,no,5
349,855,24,20,6,11,4,no,yes,2
350,2788,17,24,14,15,16,yes,no,2
351,2889,16,24,2,21,22,no,no,5
352,2114,15,16,14,15,12,no,no,1
353,843,18,16,14,13,4,no,yes,1
354,3330,33,1,56,19,22,no,no,4
355,3110,31,1,40,23,28,no,no,5
356,2231,20,12,2,17,30,no,no,4
357,3762,39,3,48,23,12,no,no,1
358,3055,39,1,40,19,20,no,no,4
359,1419,22,16,10,15,10,no,no,1
360,4016,32,1,28,17,30,yes,no,4
361,4234,37,1,48,17,22,no,no,4
362,1457,23,8,6,23,10,no,no,1
363,866,24,8,6,12,10,no,yes,2
364,1487,22,28,10,23,6,no,no,2
365,3102,34,3,28,23,28,no,no,4
366,1508,21,20,14,23,8,yes,no,1
367,3549,39,3,20,19,18,no,no,4
368,3741,36,5,20,23,24,no,no,5
369,3899,32,7,16,19,18,no,no,5
370,3838,33,5,44,15,14,no,no,1
371,2266,17,16,2,17,12,no,no,2
372,2881,17,16,6,15,24,no,no,4
373,2603,23,8,6,17,16,no,no,2
374,2207,19,16,10,15,30,no,no,5
375,2944,19,28,10,15,22,yes,no,5
376,1637,24,28,2,21,8,no,no,1
377,2398,16,16,6,15,28,no,no,4
378,2516,18,12,2,15,26,yes,no,5
379,4221,36,5,56,17,26,no,no,5
380,2234,24,16,2,23,18,no,no,4
381,875,20,12,6,13,4,no,yes,2
382,2119,20,20,6,19,22,no,no,4
383,2780,15,24,10,15,12,yes,no,1
384,1822,22,8,14,23,10,no,no,1
385,3903,34,3,52,21,22,no,no,4
386,3862,31,1,44,17,20,no,no,4
387,748,19,24,2,13,4,yes,no,2
388,1491,19,28,10,15,8,no,no,1
389,3541,36,5,36,23,20,no,no,5
390,3071,34,1,48,17,28,no,no,4
391,2195,24,28,10,15,18,no,no,4
392,1757,20,12,10,15,6,no,no,1
393,646,22,24,2,11,6,no,yes,2
394,4344,32,1,48,19,26,yes,no,5
395,1625,21,20,2,17,10,no,no,1
396,1950,22,16,6,19,8,no,no,1
397,879,16,20,10,12,4,no,yes,2
398,1179,21,28,10,13,10,no,yes,1
399,3932,34,5,36,23,28,yes,no,4
400,1097,16,20,14,13,10,no,yes,1
401,2341,21,12,14,23,22,no,no,4
402,1355,19,8,2,21,8,no,no,1
403,1685,24,24,2,23,8,no,no,1
404,1354,17,16,10,17,10,no,no,1
405,1147,19,28,6,12,8,no,yes,2
406,2131,16,12,14,17,28,no,no,5
407,1795,15,28,2,21,10,no,no,1
408,2039,15,24,6,21,18,no,no,4
409,3736,39,3,24,15,12,yes,no,1
410,870,15,12,2,12,6,no,yes,2
411,3810,37,3,32,17,24,no,no,4
412,2567,18,28,10,23,30,no,no,5
413,3317,32,3,44,17,12,no,no,2
414,2754,23,16,2,17,26,no,no,4
415,3910,33,5,44,23,30,no,no,5
416,2633,17,24,6,21,28,no,no,5
417,2638,24,8,14,23,12,no,no,1
418,3680,38,7,16,15,26,yes,no,5
419,891,18,16,6,13,10,no,yes,1
420,1797,23,8,14,15,4,no,no,1
421,3348,35,3,44,17,22,yes,no,5
422,2744,21,12,10,15,20,yes,no,4
423,4176,36,3,44,17,22,yes,no,4
424,1579,21,12,2,17,10,no,no,2
425,3589,39,5,44,19,18,no,no,5
426,2223,21,8,2,21,18,no,no,5
427,2755,17,20,2,17,12,no,no,2
428,2358,19,12,6,23,24,no,no,4
429,1098,23,16,2,12,6,no,yes,1
430,1677,16,28,2,17,6,no,no,1
431,1106,21,8,10,11,10,no,yes,1
432,2121,19,8,6,19,18,no,no,5
433,1972,21,20,2,17,4,yes,no,1
434,750,23,20,14,13,10,no,yes,2
435,1019,20,28,14,12,6,no,yes,1
436,3379,36,1,20,21,12,no,no,2
437,1883,21,12,6,19,6,no,no,2
438,2862,22,8,14,21,14,no,no,2
439,3839,35,7,28,21,14,no,no,2
440,4150,37,3,44,23,12,no,no,2
441,3726,34,7,36,23,30,no,no,4
442,2369,16,8,10,21,18,no,no,4
443,3627,34,5,36,17,22,no,no,4
444,1541,24,16,10,17,6,no,no,1
445,2397,20,16,10,19,20,no,no,4
446,3975,37,7,56,17,30,no,no,5
447,4246,37,1,48,23,20,no,no,5
448,3180,36,1,24,21,22,yes,no,5
449,2248,17,8,2,21,20,yes,no,4
450,1339,18,8,6,21,10,no,no,2
451,2487,23,12,10,15,18,no,no,4
452,3955,34,3,52,23,24,no,no,5
453,1899,24,16,2,23,10,no,no,1
454,2538,16,20,2,19,16,no,no,1
455,2583,17,12,6,15,26,no,no,4
456,590,19,28,10,13,8,no,yes,1
457,3284,39,1,60,21,30,yes,no,4
458,1219,17,8,6,23,10,no,no,2
459,1081,19,28,10,13,8,no,yes,1
460,2001,22,28,14,17,30,no,no,5
461,1921,18,8,2,17,8,no,no,1
462,1640,16,12,2,21,8,yes,no,1
463,2617,17,12,2,21,24,no,no,5
464,712,15,28,6,13,10,yes,no,1
465,3751,39,7,28,17,24,no,no,4
466,2355,16,20,6,21,28,no,no,4
467,3311,35,7,52,17,28,no,no,4
468,923,16,8,10,11,8,no,yes,1
469,807,22,16,14,12,8,no,yes,1
470,1313,19,16,14,21,6,no,no,2
471,4337,36,7,52,21,12,no,no,2
472,3770,39,1,20,19,26,no,no,5
473,1536,24,12,10,23,8,yes,no,1
474,3108,36,1,56,17,18,yes,no,4
475,4088,33,3,28,15,24,yes,no,4
476,3986,36,3,32,23,18,no,no,5
477,923,24,8,6,12,10,no,yes,2
478,2194,15,28,6,21,16,no,no,2
479,1047,20,28,14,13,8,no,yes,2
480,1547,23,12,6,19,6,no,no,2
481,4250,35,5,52,23,26,no,no,5
482,2547,17,16,6,21,26,no,no,4
483,3276,39,5,20,23,14,yes,no,2
484,4078,35,1,56,17,18,no,no,5
485,2146,18,8,14,23,20,no,no,4
486,583,24,28,10,12,8,no,yes,1
487,1584,24,28,6,15,4,yes,no,2
488,3815,31,3,24,23,20,no,no,5
489,2635,19,24,10,17,24,no,no,4
490,2255,19,20,10,15,12,no,no,1
491,3443,31,7,28,23,26,no,no,5
492,4073,37,7,20,17,12,no,no,2
493,2050,15,20,10,17,14,no,no,1
494,844,20,8,6,13,8,yes,no,1
495,2256,19,8,6,17,26,yes,no,5
496,3530,34,1,48,17,14,no,no,2
497,523,20,20,10,11,10,no,yes,2
498,3372,33,3,60,19,30,yes,no,5
499,1291,23,28,10,23,8,no,no,1
500,3339,36,3,40,21,28,no,no,4
501,3009,33,3,32,21,20,no,no,4
502,2745,21,24,6,23,24,no,no,5
503,1136,15,16,10,11,8,yes,no,1
504,1975,20,20,2,23,6,no,no,1
505,3261,33,1,28,19,12,no,no,2
506,4050,30,5,36,23,18,no,no,5
507,4174,39,5,56,17,14,no,no,2
508,2685,22,20,14,23,26,no,no,4
509,1038,22,24,6,13,4,no,yes,1
510,913,20,16,2,13,10,no,yes,2
511,1335,16,28,2,17,8,no,no,1
512,815,23,28,6,13,6,no,yes,1
513,1319,17,28,2,15,8,no,no,2
514,1096,17,8,6,11,10,yes,no,2
515,1604,23,8,14,19,4,yes,no,1
516,1571,18,20,2,23,4,no,no,1
517,3021,33,7,56,15,20,no,no,5
518,2449,16,20,6,23,22,no,no,5
519,3939,38,5,44,23,28,no,no,4
520,812,15,20,2,13,10,yes,no,1
521,2357,22,24,6,15,16,no,no,2
522,2707,18,8,6,23,12,no,no,1
523,2911,17,24,2,15,14,no,no,2
524,3758,33,1,40,15,16,no,no,2
525,2305,23,28,2,23,12,no,no,1
526,3121,35,7,56,21,26,no,no,5
527,3184,30,3,56,17,26,yes,no,5
528,3701,32,1,60,15,20,no,no,4
529,3853,33,5,44,15,20,no,no,5
530,3707,32,7,40,15,14,no,no,1
531,639,20,16,14,11,6,no,yes,2
532,3479,37,5,52,21,28,no,no,4
533,1875,24,16,2,15,8,no,no,2
534,3782,30,7,32,23,30,no,no,4
535,4181,35,1,24,17,16,no,no,2
536,1724,18,12,2,15,4,yes,no,1
537,664,22,20,6,13,8,yes,no,1
538,1706,17,12,14,21,10,no,no,1
539,1499,16,12,2,23,8,no,no,1
540,2071,15,20,14,15,26,no,no,5
541,3456,34,1,60,21,18,yes,no,5
542,1058,18,20,6,13,8,no,yes,1
543,522,23,16,14,12,8,no,yes,1
544,1574,20,8,10,15,6,no,no,2
545,3487,33,3,60,21,30,no,no,4
546,611,15,28,14,12,4,no,yes,1
547,3167,33,1,16,21,30,no,no,5
548,3702,35,5,60,21,22,no,no,5
549,2542,15,16,6,15,14,no,no,1
550,4032,32,3,44,15,30,yes,no,5
551,3247,30,3,28,21,24,no,no,4
552,964,24,24,6,13,4,yes,no,1
553,2129,19,8,2,23,18,no,no,4
554,1749,21,12,10,17,8,no,no,1
555,3975,33,7,60,17,12,no,no,2
556,983,23,12,6,13,4,no,yes,1
557,2093,15,20,6,23,14,no,no,1
558,3740,37,3,32,15,16,yes,no,2
559,3166,39,7,40,21,30,no,no,4
560,3222,39,5,56,23,14,no,no,2
561,2119,23,8,10,15,20,no,no,4
562,2896,23,8,10,19,14,yes,no,2
563,2334,24,12,6,21,26,no,no,4
564,2860,18,28,6,15,26,yes,no,4
565,3463,37,7,24,15,30,no,no,5
566,4185,38,5,16,19,18,no,no,4
567,1853,23,24,2,19,4,no,no,2
568,4342,33,7,24,19,18,no,no,4
569,897,20,20,6,11,8,no,yes,1
570,1459,19,28,2,21,8,no,no,2
571,1580,22,12,10,23,4,yes,no,2
572,2269,19,28,2,17,28,no,no,4
573,3841,31,3,60,23,22,no,no,4
574,3302,32,7,44,15,14,no,no,2
575,1956,18,8,2,17,10,yes,no,2
576,1086,21,12,2,11,8,no,yes,2
577,2769,21,20,10,21,18,no,no,4
578,2097,21,16,10,17,28,no,no,4
579,2909,15,16,6,15,14,no,no,1
580,3128,34,5,16,23,30,yes,no,5
581,2254,24,12,2,15,30,no,no,4
582,2021,21,28,10,23,18,no,no,5
583,2843,24,12,10,15,24,no,no,4
584,3298,35,1,28,23,14,no,no,1
585,3389,36,3,28,17,14,no,no,1
586,4256,33,1,48,15,20,yes,no,4
587,2621,21,8,10,15,14,no,no,2
588,1666,18,20,10,21,6,no,no,1
589,2239,19,24,6,15,20,no,no,4
590,2228,24,12,6,21,30,yes,no,4
591,3302,32,1,44,15,12,no,no,1
592,596,22,12,10,11,4,yes,no,1
593,1649,19,20,10,17,10,no,no,2
594,3415,36,7,44,17,22,no,no,4
595,1750,17,20,14,15,8,no,no,1
596,957,15,28,14,12,8,no,yes,1
597,2851,20,20,6,17,26,no,no,5
598,1964,18,28,10,17,10,yes,no,2
599,4154,36,5,52,15,14,no,no,1
600,705,22,28,14,13,8,no,yes,1
601,1669,17,12,2,15,4,no,no,1
602,3810,36,5,44,23,14,no,no,2
603,1666,17,24,6,15,8,no,no,1
604,3148,30,5,60,21,30,yes,no,4
605,1035,16,24,10,13,6,no,yes,1
606,2299,18,20,6,17,30,no,no,5
607,3106,30,5,44,19,12,no,no,1
608,1715,21,28,2,15,8,no,no,2
609,2538,15,20,10,23,18,no,no,4
610,3055,37,7,28,19,22,no,no,4
611,4011,31,5,56,15,16,no,no,2
612,2860,19,28,6,19,14,yes,no,2
613,3466,32,3,28,19,30,no,no,4
614,1449,24,16,6,17,4,no,no,1
615,1399,17,20,6,15,10,no,no,2
616,3590,31,3,28,23,18,no,no,4
617,2813,21,16,6,23,18,no,no,5
618,1804,15,8,6,19,6,yes,no,1
619,761,20,20,6,12,10,no,yes,2
620,3736,33,3,28,23,18,yes,no,4
621,2123,23,8,14,17,12,no,no,2
622,1466,15,16,6,19,6,no,no,2
623,522,23,20,10,11,4,no,yes,2
624,3756,35,7,48,21,20,yes,no,5
625,2225,21,24,2,17,20,no,no,4
626,1644,18,12,2,17,8,yes,no,1
627,2533,17,28,2,17,16,no,no,1
628,3012,33,5,60,21,22,yes,no,4
629,2184,16,12,10,17,14,yes,no,1
630,4027,31,5,44,23,30,no,no,5
631,1433,21,16,14,17,8,no,no,1
632,1506,16,12,14,23,6,no,no,1
633,2720,24,8,14,19,12,yes,no,2
634,3476,34,7,16,17,22,yes,no,5
635,4005,30,1,32,21,16,no,no,1
636,4264,39,1,20,21,18,yes,no,5
637,1716,17,24,2,15,6,yes,no,2
638,2018,16,8,10,19,22,no,no,5
639,3421,36,5,28,21,16,no,no,1
640,4347,39,7,28,19,30,no,no,5
641,2685,20,24,14,15,22,no,no,5
642,2322,17,24,10,23,12,no,no,1
643,3623,38,7,36,23,26,no,no,5
644,1818,15,16,6,21,6,no,no,2
645,1026,16,24,6,11,8,no,yes,2
646,2056,21,28,2,17,24,yes,no,4
647,1623,16,20,2,23,8,no,no,1
648,4305,39,3,60,15,30,no,no,4
649,3687,36,7,24,21,24,no,no,4
650,1327,21,8,14,17,10,no,no,2
651,1471,17,12,6,21,8,no,no,1
652,2780,17,28,14,23,28,yes,no,4
653,924,21,12,14,11,10,yes,no,2
654,639,20,8,14,11,10,no,yes,2
655,3417,30,7,48,15,30,no,no,4
656,3354,37,5,44,21,18,no,no,4
